title,award,genre,imageurl
The Emperor Waltz,COSTUME DESIGN (Color),"Comedy, Musical, Romance",https://m.media-amazon.com/images/M/MV5BMWE0ZDM4MDMtM2FiNC00MTZmLTkzMGYtMjg1M2U3Y2VhNTMwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
Joan of Arc,COSTUME DESIGN (Color),"Adventure, Biography, Drama, History, War",https://m.media-amazon.com/images/M/MV5BMTMzZWY3ZTUtODg4OS00N2U1LTgzNDQtZDVlYWQ3YjA0NDU1XkEyXkFqcGdeQXVyMTAwMzUyMzUy._V1_SX300.jpg
The Adventures of Don Juan and Don Tu,COSTUME DESIGN (Color),"Short, Action, Adventure",https://m.media-amazon.com/images/M/MV5BNDkyODcwMDUwOF5BMl5BanBnXkFtZTgwMzMzMTg5MDE@._V1_SX300.jpg
Mother Is a Freshman,COSTUME DESIGN (Color),Comedy,https://m.media-amazon.com/images/M/MV5BZTkzNDk1NTAtMDBhNC00ZjcyLTk4ZmQtYzZjYmFmNjViZGQxXkEyXkFqcGdeQXVyMTIxOTk5MzY@._V1_SX300.jpg
The Black Rose,COSTUME DESIGN (Color),"Adventure, History, Romance, War",https://m.media-amazon.com/images/M/MV5BYTBkN2M4ZjUtODFiNC00MjRlLTgxYWQtNjFkMmI3NmI5MGM0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg
Samson and Delilah,COSTUME DESIGN (Color),"Drama, History, Romance",https://m.media-amazon.com/images/M/MV5BNmE1NTg5OWQtYzcwNi00ZDFkLWJmZjgtNDM3ZjZiODAxYmE2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
That Forsyte Woman,COSTUME DESIGN (Color),"Drama, Romance",https://m.media-amazon.com/images/M/MV5BZDlhZjEwYjItYmM1NC00NTAzLTk2MDktNzExYTM1OTllOTMwXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg
An American in Paris,COSTUME DESIGN (Color),"Drama, Musical, Romance",https://m.media-amazon.com/images/M/MV5BMzFkNGM0YTUtZjY5Ny00NzBkLWE1NTAtYzUxNjUyZmJlODMwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
David and Bathsheba,COSTUME DESIGN (Color),"Drama, History, Romance",https://m.media-amazon.com/images/M/MV5BZTFmZmZlZDEtMGY0ZC00YmQwLTg5YzYtY2VkYjIxYjhhZmEwXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg
The Great Caruso,COSTUME DESIGN (Color),"Biography, Drama, Music",https://m.media-amazon.com/images/M/MV5BNTdlNjVlNDEtYWNmOS00ZWYwLTlhM2ItZTQ1M2E1MTNjODliXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg
